alias,code,vendor_type,vendor_code
Greensboro,USA0NCGBO000,meiya_air,1247
Hannover,DEU000HAJ000,meiya_air,HAJ
Kuantan,MYS0PGKUA000,meiya_air,KUA
Guadalajara,MEX000GDL000,meiya_air,GDL
Brasilia,BRA000BSB000,meiya_air,BSB
Naples,USA0FLAPF000,meiya_air,NAP
Turin,ITA000TRN000,meiya_air,TRN
Malta,MLT000000000,meiya_air,MLA
PalmaDeMallor,ITA000PMF000,meiya_air,PMI
Malaga,ESP000AGP000,meiya_air,AGP
Conakry,GIN000CNK000,meiya_air,CKY
Amman,JOR0000AM000,meiya_air,AMM
Oita,JPN000044000,meiya_air,OIT
Taegu,KOR027000000,meiya_air,TAE
Jacksonville,USA0FLJAX000,meiya_air,JAX
Indianapolis,USA0ININD000,meiya_air,IND
Louisville,USAAP0002000,meiya_air,SDF
Montpellier,FRA000MPL000,meiya_air,MPL
Leipjig,DEU000LEJ000,meiya_air,LEJ
Buffalo,USA0NYFFO000,meiya_air,BUF
Asturias,ESP000003000,meiya_air,OVD
Pisa,ITA000PSA000,meiya_air,PSA
Seville,ESP000SVQ000,meiya_air,SVQ
Valencia,ESP000004000,meiya_air,VLC
Strasbourg,FRA000001000,meiya_air,SXB
Chittagong,BGD000CGP000,meiya_air,CGP
Bremen,DEU0000HB000,meiya_air,BRE
Hvderabad,IND000003000,meiya_air,HYD
Kochi,IND000004000,meiya_air,COK
JohorBahru,MYS0JHJHB000,meiya_air,JHB
Balikpapan,IDN000004000,meiya_air,BPN
Manado,IDN000005000,meiya_air,MDC
Medan,IDN000006000,meiya_air,MES
Kuching,MYS0SRKCH000,meiya_air,KCH
Lombok,IDN000008000,meiya_air,1392
KotaKinabalu,MYS000004000,meiya_air,BKI
Trieste,ITA000TRS000,meiya_air,TRS
Allentown,USA0PAAEW000,meiya_air,ABE
SantaAna,USAAP0003000,meiya_air,SNA
Madison,USAAP0004000,meiya_air,MSN
Tampa,USA0FLTPA000,meiya_air,TPA
Spokane,USA0WAGEG000,meiya_air,GEG
Doha,QAT0000DW000,meiya_air,DOH
Lexington,USAAP0005000,meiya_air,LEX
Fredericton,CAN000003000,meiya_air,YFC
Butte,USAAP0006000,meiya_air,BTM
Krabi,THA000081000,meiya_air,KBV
RaleighDurham,USA0NCRAG000,meiya_air,RDU
Kiel,DEU000KEL000,meiya_air,KEL
Katowice,POL000001000,meiya_air,KTW
Dresden,DEU000001000,meiya_air,DRS
Muenster,DEU000003000,meiya_air,FMO
MunichAugsburg,DEU000AGB000,meiya_air,AGB
Paderborn,DEU000004000,meiya_air,PAD
Zagreb,HRV000001000,meiya_air,ZAG
Catania,ITA000CTA000,meiya_air,CTA
Norfolk,USA0VAORF000,meiya_air,ORF
Coloradosprings,USAAP0007000,meiya_air,COS
Omaha,USA0NEOMA000,meiya_air,OMA
Columbia,COL000001000,meiya_air,CAE
SanJuan,ARG000UAQ000,meiya_air,1427
Rimini,ITA000001000,meiya_air,RMI
Ancona,ITA000AOI000,meiya_air,AOI
Bari,CAN000BAR000,meiya_air,BRI
Cagliari,ITA000CAG000,meiya_air,CAG
Genoa,ITA000CAX000,meiya_air,GOA
Winnipeg,CAN000WNP000,meiya_air,YWG
Oakland,USA0CAOAK000,meiya_air,OAK
Moline,USAAP0008000,meiya_air,MLI
St.John,CAN000194000,meiya_air,YSJ
OklahomaCity,USAAP0009000,meiya_air,OKC
Aalborg,DNK000001000,meiya_air,AAL
Saskatoo,CAN000SAK000,meiya_air,YXE
Wroclaw,POL000WRO000,meiya_air,WRO
Bonn,DEU000005000,meiya_air,BNJ
Innsbruck,AUT000003000,meiya_air,INN
Portoviejo,PHL000DOR000,meiya_air,DVO
Charlotte,USA0NCCRQ000,meiya_air,CLT
Baltimore,USA0MDBAL000,meiya_air,BWI
Gdansk,POL000GDN000,meiya_air,GDN
Lille,FRA000LLE000,meiya_air,LIL
Poznan,POL000POZ000,meiya_air,POZ
Norwich,GBR000003000,meiya_air,NWI
Palembang,IDN000009000,meiya_air,PLM
Riga,LVA000RGA000,meiya_air,RIX
Trujillo,VEN00000T000,meiya_air,TRU
Rennes,FRA000RNS000,meiya_air,RNS
Cardiff,GBR000004000,meiya_air,CWL
Kristiansand,NOR000022000,meiya_air,KRS
KhonKaen,THA000040000,meiya_air,KKC
UdonThani,THA000041000,meiya_air,UTH
SuratThani,THA000003000,meiya_air,URT
HatYai,THA000004000,meiya_air,HDY
Guayaquil,ECU000001000,meiya_air,GYE
Lucerne,CHE0000LU000,meiya_air,QLJ
Nantes,FRA000NTE000,meiya_air,NTE
Pangkor,MYS000005000,meiya_air,PKG
Semarang,IDN000011000,meiya_air,SRG
Matsuyama,JPN000057000,meiya_air,MYJ
Ajaccio,FRA000003000,meiya_air,AJA
