code,vendor_type,alias
DEU000007000,standard_air,亚琛
DEU000KAS000,standard_air,卡塞尔
DEU000MHG000,standard_air,曼海姆
EGY000001000,standard_air,赫尔格达
EGY000002000,standard_air,沙姆沙伊赫湾 
EGY000003000,standard_air,塔巴
ESP000BUR000,standard_air,布尔戈斯
ESP000011000,standard_air,圣塞瓦斯蒂安
ESP000GRO000,standard_air,赫罗纳
ESP000LEI000,standard_air,阿尔梅里亚
ESP000012000,standard_air,洛格罗尼奥
ESP000MJV000,standard_air,穆尔西亚
ESP000ZAZ000,standard_air,萨拉戈萨
FJI000001000,standard_air,苏瓦
FRA000URO000,standard_air,鲁昂
GBRENGCOV000,standard_air,考文垂
GBR000009000,standard_air,格劳斯特
GBR000010000,standard_air,约克郡
GBR000011000,standard_air,伦敦德里
GBR000012000,standard_air,纽基
GBRENGPLY000,standard_air,普利茅斯
GRC000002000,standard_air,罗得岛
IDN000012000,standard_air,巴淡岛
IRL0000KK000,standard_air,基尔肯尼
ISR000HFA000,standard_air,海法
IND000006000,standard_air,果阿
IND000007000,standard_air,杰伊瑟尔梅尔
IND000008000,standard_air,菠罗奈斯
ITA000002000,standard_air,阿尔盖罗
ITA000003000,standard_air,卢卡
ITA000PEG000,standard_air,佩鲁贾
ITA000PMO000,standard_air,巴勒莫
ITA000004000,standard_air,圣若望玛龙堂
ITA000005000,standard_air,维琴察
LKA000KAN000,standard_air,康提
MAR000FES000,standard_air,非斯
MAR000RSA000,standard_air,拉巴特
MAR000TGR000,standard_air,丹吉尔
MEX000002000,standard_air,印坦巴
MEX000MTY000,standard_air,蒙特雷
MEX000003000,standard_air,卡曼海滩
NOR000025000,standard_air,特罗姆瑟
NZL000002000,standard_air,库克山
NZL000003000,standard_air,蒂阿诺
NZL000004000,standard_air,陶波
PER0000AR000,standard_air,阿雷基帕
PRT000001000,standard_air,布拉加
BHS000001000,standard_air,卡斯凯斯
PRT000002000,standard_air,孔布拉
ROU0000CT000,standard_air,康斯坦察
ROU0000IS000,standard_air,雅西
SWE000001000,standard_air,林雪平
SWE000002000,standard_air,马尔默
SWE00000T000,standard_air,厄勒布鲁
USAAP0045000,standard_air,佩奇
USAAP0046000,standard_air,安大略
CAN000007000,standard_air,圣约翰堡
IND000009000,standard_air,浦那
DEU000008000,standard_air,霍夫
CAN000REG000,standard_air,里贾纳
USA0NELNK000,standard_air,林肯
CAN000008000,standard_air,鲁安
ARG000COR000,standard_air,科尔多瓦
AUSNSWNTL000,standard_air,纽卡斯尔
GBRENGSTH000,standard_air,南安普敦
KEN000NUU000,standard_air,纳库鲁
CAN000CHA000,standard_air,夏洛特敦
USA0PAERI000,standard_air,伊利
USAAP0047000,standard_air,阿克伦/坎通
USAAP0048000,standard_air,马凯特
USA0MIMKG000,standard_air,马斯基根
FRA000ORR000,standard_air,奥尔良
USA0FLTLH000,standard_air,塔拉哈西
KOR000002000,standard_air,曼齐尼
GBR000013000,standard_air,马恩岛
USA0OREUG000,standard_air,尤金
SWE000003000,standard_air,卡尔斯塔德
USAAP0049000,standard_air,韦恩堡 
HRV000022000,standard_air,杜布罗夫尼克
RUS000UFA000,standard_air,乌法
UKR000003000,standard_air,多内茨克 
DEU000009000,standard_air,爱尔福特
USAAP0050000,standard_air,萨凡纳 
ITA000REG000,standard_air,雷焦卡拉布里亚
USAAP0051000,standard_air,特克萨卡纳
JPN000060000,standard_air,松元
CZE000002000,standard_air,俄斯特拉伐
RUS000KGD000,standard_air,加里宁格勒
