alias,code,vendor_type
桑托斯将军城,PHL000002000,ctrip_air
魁北克,CAN000QUE000,ctrip_air
帕福斯,CYP000005000,ctrip_air
什里夫波特,USA0LASHV000,ctrip_air
克久拉霍,IND000005000,ctrip_air
里沃夫,UKR000001000,ctrip_air
第聂伯罗彼得罗夫斯克,UKR000002000,ctrip_air
丰沙尔,PRT000FUN000,ctrip_air
哈尔科夫,UKR000063000,ctrip_air
克拉斯诺达尔,RUS000KRR000,ctrip_air
罗斯托夫,RUS000003000,ctrip_air
锡比乌,ROU0000SO000,ctrip_air
瓦尔纳,BGR000VAR000,ctrip_air
布卢明顿 诺马尔,USAAP0034000,ctrip_air
特拉弗斯城,USAAP0035000,ctrip_air
锡达拉皮兹,USA0IACID000,ctrip_air
乔普林,USAAP0036000,ctrip_air
萨德伯里,CAN000SUD000,ctrip_air
拉克鲁斯,USAAP0037000,ctrip_air
卡鲁普,DNK000003000,ctrip_air
圣约翰斯,CAN000SJB000,ctrip_air
斋普尔,IND000JAI000,ctrip_air
卢加诺,CHE000002000,ctrip_air
艾丽斯斯普林斯,AUS000002000,ctrip_air
罗阿诺克,USAAP0038000,ctrip_air
彭萨科拉,USAAP0039000,ctrip_air
奥胡斯,DNK0000AR000,ctrip_air
阿斯马拉,ETH000001000,ctrip_air
班戈,USA0MEBNQ000,ctrip_air
海德堡,DEU000006000,ctrip_air
达曼,SAU000DAM000,ctrip_air
尚佩恩,USAAP0040000,ctrip_air
安哥拉城,USAAP0041000,ctrip_air
蒙哥马利,USA0ALMGM000,ctrip_air
桑德贝,CAN000THU000,ctrip_air
查塔努加,USA0TNCHA000,ctrip_air
汤斯维尔,AUSQLDTSV000,ctrip_air
法戈,USA0NDFAR000,ctrip_air
马塞卢,LSO00000A000,ctrip_air
萨吉诺,USA0MISGM000,ctrip_air
巴吞鲁日,USA0LABTR000,ctrip_air
博蒙特,USAAP0042000,ctrip_air
迈克艾伦,USAAP0043000,ctrip_air
蔚山,KOR031000000,ctrip_air
浦项,KOR043KPO000,ctrip_air
拉菲特,USAAP0044000,ctrip_air
米里,MYS000007000,ctrip_air
埃文斯维尔,USA0INEVV000,ctrip_air
哈伊马角,ARE000001000,ctrip_air
马德普拉塔,ARG000MDQ000,ctrip_air
特雷利乌,ARG000REL000,ctrip_air
萨尔塔,ARG000SLA000,ctrip_air
乌斯怀亚,ARG000USH000,ctrip_air
布鲁姆,AUS000003000,ctrip_air
巴瑟尔顿,AUS000004000,ctrip_air
赫维湾,AUS000005000,ctrip_air
麦凯,AUS000006000,ctrip_air
奥斯坦德,BEL000001000,ctrip_air
普罗夫迪夫,BGR000PDV000,ctrip_air
